published_year,crossref_type,code,name,total,avg_score,count_oa,count_gold,count_green,count_bronze,count_hybrid,count_doaj,count_diamond,count_green_only,count_green_only_ignoring_bronze,count_cc_licensed,mean_citations,mean_citations2y
2021,reference-entry,eu,Basque,3,0.22750683625539142,2,2,0,0,2,0,0,0,0,2,,
2021,book-chapter,eu,Basque,148,0.35640357847552046,2,2,0,0,2,0,0,0,0,2,1.0,1.0
2021,,eu,Basque,1,0.10206484794616699,1,1,0,0,1,0,0,0,0,1,,
2021,dataset,eu,Basque,51,0.22316292220470949,45,45,0,0,45,0,0,0,0,45,,
2021,journal-article,eu,Basque,283,0.6093391324574446,225,131,115,87,98,33,31,7,47,133,1.0,1.0
2021,other,eu,Basque,4,0.21836455911397934,0,0,0,0,0,0,0,0,0,0,,
2021,posted-content,eu,Basque,5,0.3125946283340454,5,0,5,0,0,0,0,5,5,0,,
2021,proceedings-article,eu,Basque,149,0.7606698614638926,3,1,2,0,1,0,0,2,2,1,1.0,1.0
2021,monograph,eu,Basque,3,0.22716987133026123,0,0,0,0,0,0,0,0,0,0,,
2021,proceedings,eu,Basque,5,0.8814356327056885,5,0,5,3,0,0,0,2,5,0,,
2021,component,eu,Basque,4,0.2752498649060726,0,0,0,0,0,0,0,0,0,0,,
2021,dataset,bar,Bavarian,1,0.1928122192621231,0,0,0,0,0,0,0,0,0,0,,
2021,book-chapter,bar,Bavarian,4,0.3809485286474228,0,0,0,0,0,0,0,0,0,0,,
2021,journal-article,be,Belarusian,30,0.8166916030148665,27,3,11,22,0,3,3,2,9,5,1.5,1.5
2021,book-chapter,be,Belarusian,2,0.5546767488121986,0,0,0,0,0,0,0,0,0,0,,
2021,book-chapter,bn,Bengali,1011,0.223581034229547,1,1,0,0,1,0,0,0,0,1,,
2021,other,bn,Bengali,2,0.3716191500425339,0,0,0,0,0,0,0,0,0,0,,
2021,journal-article,bn,Bengali,4,0.5094645619392395,3,2,0,1,2,0,0,0,0,2,,
2021,dataset,bn,Bengali,3,0.2611411114533742,3,3,0,0,3,0,0,0,0,3,,
2021,peer-review,bn,Bengali,3,0.1458156406879425,3,3,0,0,3,0,0,0,0,3,,
2021,book,bs,Bosnian,2,0.35672998428344727,1,1,1,0,1,0,0,0,0,1,,
2021,posted-content,bs,Bosnian,2,0.2689868360757828,0,0,0,0,0,0,0,0,0,0,,
2021,monograph,bs,Bosnian,4,0.44284775853157043,3,2,0,1,2,0,0,0,0,2,,
2021,reference-entry,bs,Bosnian,1,0.1493462324142456,1,1,0,0,1,0,0,0,0,1,,
2021,proceedings-article,bs,Bosnian,26,0.21884621249941677,24,22,0,2,22,0,0,0,0,22,1.0,1.0
2021,other,bs,Bosnian,2,0.10269539803266525,1,1,0,0,1,0,0,0,0,1,4.0,4.0
2021,journal-article,bs,Bosnian,65,0.30123696865943755,62,38,10,24,22,16,15,0,3,38,1.0,1.0
2021,dataset,bs,Bosnian,4,0.12940645590424538,1,1,0,0,1,0,0,0,0,1,,
2021,book-chapter,bs,Bosnian,98,0.3234395276831121,15,10,1,5,10,0,0,0,0,10,,
2021,journal-article,br,Breton,6,0.20157188425461453,0,0,0,0,0,0,0,0,0,0,,
2021,book-chapter,br,Breton,22,0.4044174751774831,1,1,0,0,1,0,0,0,0,1,,
2021,book,bg,Bulgarian,5,0.654158228635788,0,0,0,0,0,0,0,0,0,0,,
2021,report-series,bg,Bulgarian,1,0.9977607727050781,1,0,0,1,0,0,0,0,0,0,,
